symbol,token,action,entry_date,position_size,capital_used,exit_date,exit_price,result,pnl_per_share,pnl_total,holding_days
HAL-EQ,2303,BUY,2025-04-28,2,8730.0,2025-05-08,4422.9,MKT,57.899999999999636,115.79999999999927,10
SJVN-EQ,18883,BUY,2025-04-28,103,9905.51,2025-04-30,93.2849,SL,-2.8851000000000084,-297.16530000000085,2
LICI-EQ,9480,BUY,2025-04-21,12,9696.0,2025-04-25,808.0,T1_SL,0.0,0.0,4
BAJAJ-AUTO-EQ,16669,BUY,2025-04-28,1,8084.0,2025-05-02,7841.48,SL,-242.52000000000044,-242.52000000000044,4
PIDILITIND-EQ,2664,BUY,2025-04-22,3,9159.0,2025-05-02,3008.7,MKT,-44.30000000000018,-132.90000000000055,10
NTPCGREEN-EQ,27176,BUY,2025-05-02,98,9937.2,2025-05-06,98.358,SL,-3.0420000000000016,-298.11600000000016,4
UNIONBANK-EQ,10753,BUY,2025-04-21,78,9968.4,2025-04-23,126.003,SL,-1.796999999999997,-140.16599999999977,2
ADANIENT-EQ,25,BUY,2025-04-15,4,9376.0,2025-04-16,2391.05,SL,47.05000000000018,188.20000000000073,1
ABFRL-EQ,30108,BUY,2025-04-28,103,9970.4,2025-04-29,97.679,SL,0.8790000000000049,90.5370000000005,1
OLAELEC-EQ,24777,BUY,2025-04-21,189,9975.42,2025-04-22,52.3509,SL,-0.42909999999999826,-81.09989999999968,1
MFSL-EQ,2142,BUY,2025-04-28,7,8967.0,2025-05-07,1256.15,SL,-24.84999999999991,-173.94999999999936,9
BAJAJHFL-EQ,25270,BUY,2025-04-29,79,9914.5,2025-04-30,121.735,SL,-3.7650000000000006,-297.43500000000006,1
RVNL-EQ,9552,BUY,2025-04-29,27,9855.0,2025-04-30,354.05,SL,-10.949999999999989,-295.6499999999997,1
IRCTC-EQ,13611,BUY,2025-04-15,13,9620.0,2025-04-25,751.85,MKT,11.850000000000023,154.0500000000003,10
WAAREEENER-EQ,25907,BUY,2025-04-17,4,9044.0,2025-04-21,2432.76,SL,171.76000000000022,687.0400000000009,4
IRFC-EQ,2029,BUY,2025-04-16,77,9894.5,2025-04-17,129.495,SL,0.9950000000000045,76.61500000000035,1
BANDHANBNK-EQ,2263,BUY,2025-04-15,65,9912.5,2025-04-16,166.549,SL,14.049000000000007,913.1850000000004,1
GLENMARK-EQ,7406,BUY,2025-04-23,7,9856.0,2025-04-25,1365.76,SL,-42.24000000000001,-295.68000000000006,2
IREDA-EQ,20261,BUY,2025-04-15,63,9935.099999999999,2025-04-16,174.309,SL,16.60900000000001,1046.3670000000006,1
DRREDDY-EQ,881,BUY,2025-04-15,8,9080.0,2025-04-16,1156.24,SL,21.24000000000001,169.92000000000007,1
TATACOMM-EQ,3721,BUY,2025-04-22,6,9702.0,2025-04-24,1632.0,T2_SL,15.0,90.0,2
SAIL-EQ,2963,BUY,2025-04-22,85,9962.0,2025-04-23,116.012,SL,-1.1880000000000024,-100.9800000000002,1
HINDZINC-EQ,1424,BUY,2025-04-17,22,9658.0,2025-04-21,446.976,SL,7.975999999999999,175.47199999999998,4
MPHASIS-EQ,4503,BUY,2025-04-21,4,9136.0,2025-04-22,2462.83,SL,178.82999999999993,715.3199999999997,1
ONGC-EQ,2475,BUY,2025-04-15,43,9950.2,2025-04-16,243.082,SL,11.681999999999988,502.32599999999945,1
M&MFIN-EQ,13285,BUY,2025-04-15,38,9800.199999999999,2025-04-16,262.385,SL,4.485000000000014,170.43000000000052,1
TATAPOWER-EQ,3426,BUY,2025-04-28,25,9705.0,2025-04-30,388.2,T1_SL,0.0,0.0,2
LICHSGFIN-EQ,1997,BUY,2025-04-15,17,9860.0,2025-04-16,589.76,SL,9.759999999999991,165.91999999999985,1
AMBUJACEM-EQ,1270,BUY,2025-04-15,18,9936.0,2025-04-25,552.0,T1_SL,0.0,0.0,10
SBILIFE-EQ,21808,BUY,2025-04-30,5,8825.0,2025-05-06,1765.0,T1_SL,0.0,0.0,6
HINDPETRO-EQ,1406,BUY,2025-04-30,25,9920.0,2025-05-02,390.716,SL,-6.084000000000003,-152.10000000000008,2
COCHINSHIP-EQ,21508,BUY,2025-04-28,6,8808.0,2025-04-29,1519.99,SL,51.99000000000001,311.94000000000005,1
HEROMOTOCO-EQ,1348,BUY,2025-04-15,2,7424.0,2025-04-17,3702.49,SL,-9.510000000000218,-19.020000000000437,2
PETRONET-EQ,11351,BUY,2025-04-16,33,9900.0,2025-04-24,308.4,T2_SL,8.399999999999977,277.19999999999925,8
BAJAJHLDNG-EQ,305,BUY,2025-04-15,0,0.0,2025-04-16,12158.95,SL,774.9500000000007,0.0,1
IDFCFIRSTB-EQ,11184,BUY,2025-04-15,164,9987.6,2025-04-16,66.0667,SL,5.166699999999999,847.3387999999998,1
MRF-EQ,2277,BUY,2025-04-29,0,0.0,2025-05-07,131667.8,SL,967.7999999999884,0.0,8
ULTRACEMCO-EQ,11532,BUY,2025-04-15,0,0.0,2025-04-16,11822.36,SL,172.36000000000058,0.0,1
POLYCAB-EQ,9590,BUY,2025-04-29,1,5630.0,2025-04-30,5523.18,SL,-106.81999999999971,-106.81999999999971,1
LODHA-EQ,3220,BUY,2025-04-16,8,9856.0,2025-04-17,1299.8,SL,67.79999999999995,542.3999999999996,1
OBEROIRLTY-EQ,20242,BUY,2025-04-30,6,9756.0,2025-05-05,1626.0,T1_SL,0.0,0.0,5
BANKBARODA-EQ,4668,BUY,2025-04-15,42,9819.6,2025-04-16,243.082,SL,9.281999999999982,389.84399999999926,1
IDEA-EQ,14366,BUY,2025-04-21,1291,9992.34,2025-04-25,7.5078,SL,-0.23220000000000063,-299.7702000000008,4
GRASIM-EQ,1232,BUY,2025-04-15,3,7992.0,2025-04-16,2688.84,SL,24.840000000000146,74.52000000000044,1
MARUTI-EQ,10999,BUY,2025-04-23,0,0.0,2025-04-25,11684.62,SL,-118.3799999999992,-0.0,2
JSWSTEEL-EQ,11723,BUY,2025-04-29,9,9540.0,2025-04-30,1028.2,SL,-31.799999999999955,-286.1999999999996,1
JIOFIN-EQ,18143,BUY,2025-05-02,37,9742.1,2025-05-06,255.401,SL,-7.899000000000001,-292.26300000000003,4
NESTLEIND-EQ,17963,BUY,2025-04-16,4,9524.0,2025-04-17,2368.74,SL,-12.260000000000218,-49.04000000000087,1
RELIANCE-EQ,2885,BUY,2025-04-29,7,9625.0,2025-04-30,1384.19,SL,9.190000000000055,64.33000000000038,1
GMRAIRPORT-EQ,13528,BUY,2025-04-17,114,9933.960000000001,2025-04-25,85.3115,SL,-1.8285000000000053,-208.4490000000006,8
ICICIPRULI-EQ,18652,BUY,2025-04-30,16,9904.0,2025-05-06,600.43,SL,-18.57000000000005,-297.1200000000008,6
COLPAL-EQ,15141,BUY,2025-04-16,3,7620.0,2025-04-17,2632.58,SL,92.57999999999993,277.7399999999998,1
ADANIENSOL-EQ,10217,BUY,2025-05-02,11,9911.0,2025-05-07,901.0,T1_SL,0.0,0.0,5
ACC-EQ,22,BUY,2025-04-17,4,8252.0,2025-04-23,2063.0,T1_SL,0.0,0.0,6
PAGEIND-EQ,14413,BUY,2025-05-05,0,0.0,2025-05-08,44969.2,SL,-905.8000000000029,-0.0,3
ESCORTS-EQ,958,BUY,2025-05-02,3,9870.0,2025-05-06,3191.3,SL,-98.69999999999982,-296.09999999999945,4
GODREJPROP-EQ,17875,BUY,2025-05-02,4,8724.0,2025-05-06,2181.0,T1_SL,0.0,0.0,4
NHPC-EQ,17400,BUY,2025-04-28,115,9998.1,2025-05-05,84.3318,SL,-2.6081999999999965,-299.9429999999996,7
DIXON-EQ,21690,BUY,2025-04-15,0,0.0,2025-04-16,16323.16,SL,1583.1599999999999,0.0,1
ADANIPOWER-EQ,17388,BUY,2025-05-05,18,9720.0,2025-05-07,523.8,SL,-16.200000000000045,-291.6000000000008,2
ASTRAL-EQ,14418,BUY,2025-04-21,7,9289.0,2025-04-22,1356.06,SL,29.059999999999945,203.41999999999962,1
ETERNAL-EQ,5097,BUY,2025-05-05,41,9819.5,2025-05-06,232.315,SL,-7.185000000000002,-294.5850000000001,1
DLF-EQ,14732,BUY,2025-05-05,14,9688.0,2025-05-06,675.12,SL,-16.879999999999995,-236.31999999999994,1
