date,time,symbol,token,action,breakout_level,stop_loss,target1,target2,target3,rsi,macd,volume,level_score,level_age,close
16-04-2025,15:00:00,AUBANK-EQ,21238,BUY,580,562.6,580,615,667,70.23463874,0.820905561,111604,,,582.1
21-04-2025,15:05:00,AUBANK-EQ,21238,BUY,591,573.27,591,626,680,64.37944577,-0.407681146,533277,,,620.15
23-04-2025,09:35:00,AUBANK-EQ,21238,BUY,642,622.74,681,693,738,74.37815159,6.712836536,514931,,,644.15
24-04-2025,11:30:00,AUBANK-EQ,21238,BUY,670,649.9,710,724,770,72.09043468,2.009895541,341513,,,676.9
29-04-2025,15:05:00,AUBANK-EQ,21238,BUY,695,674.15,737,751,799,55.8825464,-0.194430196,106971,,,707.35
26-05-2025,09:45:00,AUBANK-EQ,21238,BUY,699,678.03,699,711,741,56.22292988,2.024752079,37483,,,700.65
04-06-2025,09:15:00,AUBANK-EQ,21238,BUY,731,709.07,775,789,841,69.4002576,1.201043084,145907,,,733.7
09-06-2025,09:20:00,AUBANK-EQ,21238,BUY,756,733.32,801,816,869,65.08042376,2.14281172,294229,,,759
17-04-2025,12:40:00,AUROPHARMA-EQ,275,BUY,1153,1118.41,1222,1231,1267,74.40846419,3.320919262,16915,,,1156.9
24-04-2025,12:05:00,AUROPHARMA-EQ,275,BUY,1267,1228.99,1267,1343,1457,68.49810978,3.511091571,22437,,,1272.5
11-06-2025,09:15:00,AUROPHARMA-EQ,275,BUY,1175,1139.75,1226,1246,1351,68.66053591,1.018131944,85736,,,1175.5
15-04-2025,15:20:00,AXISBANK-EQ,5900,BUY,1102,1068.94,1124,1168,1267,64.10049619,0.73875338,460334,,,1114.3
16-04-2025,14:50:00,AXISBANK-EQ,5900,BUY,1124,1090.28,1191,1214,1293,65.18446938,2.340167235,224706,,,1162.9
17-04-2025,11:25:00,AXISBANK-EQ,5900,BUY,1164,1129.08,1234,1257,1339,69.92286425,1.861660878,174618,,,1170.4
21-04-2025,09:20:00,AXISBANK-EQ,5900,BUY,1199,1163.03,1199,1271,1379,74.40254728,5.513749424,1211181,,,1219.3
12-05-2025,14:05:00,AXISBANK-EQ,5900,BUY,1179,1143.63,1210,1239,1250,63.5103088,1.418487992,113957,,,1200.4
26-05-2025,09:15:00,AXISBANK-EQ,5900,BUY,1213,1176.61,1213,1219,1286,72.85863105,1.062366289,154791,,,1217.8
10-06-2025,09:15:00,AXISBANK-EQ,5900,BUY,1224,1187.28,1224,1297,1408,71.56844848,0.284326485,681697,,,1224.5
17-04-2025,14:00:00,BAJAJ-AUTO-EQ,16669,BUY,8040,7798.8,8084,8214,8522,71.86315101,13.11583923,11284,,,8042.5
21-04-2025,09:45:00,BAJAJ-AUTO-EQ,16669,BUY,8055,7813.35,8084,8214,8538,72.47797854,4.790588175,8559,,,8076.5
23-04-2025,14:35:00,BAJAJ-AUTO-EQ,16669,BUY,8168,7922.96,8275,8658,9393,70.20636659,31.03808592,10992,,,8269.5
24-04-2025,09:25:00,BAJAJ-AUTO-EQ,16669,BUY,8294,8045.18,8294,8792,9538,65.96121668,21.09275692,20268,,,8307.5
